date,timestamp,stress_level,source,derived_timestamp
2025-12-29,2025-12-28T23:00:00+00:00,24,stressValuesArray,False
2025-12-29,2025-12-28T23:03:00+00:00,24,stressValuesArray,False
2025-12-29,2025-12-28T23:06:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:09:00+00:00,23,stressValuesArray,False
2025-12-29,2025-12-28T23:12:00+00:00,37,stressValuesArray,False
2025-12-29,2025-12-28T23:15:00+00:00,65,stressValuesArray,False
2025-12-29,2025-12-28T23:18:00+00:00,56,stressValuesArray,False
2025-12-29,2025-12-28T23:21:00+00:00,31,stressValuesArray,False
2025-12-29,2025-12-28T23:24:00+00:00,29,stressValuesArray,False
2025-12-29,2025-12-28T23:27:00+00:00,40,stressValuesArray,False
2025-12-29,2025-12-28T23:30:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:33:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:36:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:39:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:42:00+00:00,28,stressValuesArray,False
2025-12-29,2025-12-28T23:45:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:48:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-28T23:51:00+00:00,23,stressValuesArray,False
2025-12-29,2025-12-28T23:54:00+00:00,24,stressValuesArray,False
2025-12-29,2025-12-28T23:57:00+00:00,22,stressValuesArray,False
2025-12-29,2025-12-29T00:00:00+00:00,23,stressValuesArray,False
2025-12-29,2025-12-29T00:03:00+00:00,19,stressValuesArray,False
2025-12-29,2025-12-29T00:06:00+00:00,14,stressValuesArray,False
2025-12-29,2025-12-29T00:09:00+00:00,16,stressValuesArray,False
2025-12-29,2025-12-29T00:12:00+00:00,17,stressValuesArray,False
2025-12-29,2025-12-29T00:15:00+00:00,31,stressValuesArray,False
2025-12-29,2025-12-29T00:18:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-29T00:21:00+00:00,25,stressValuesArray,False
2025-12-29,2025-12-29T00:24:00+00:00,23,stressValuesArray,False
2025-12-29,2025-12-29T00:27:00+00:00,20,stressValuesArray,False
2025-12-29,2025-12-29T00:30:00+00:00,17,stressValuesArray,False
2025-12-29,2025-12-29T00:33:00+00:00,20,stressValuesArray,False
2025-12-29,2025-12-29T00:36:00+00:00,21,stressValuesArray,False
2025-12-29,2025-12-29T00:39:00+00:00,21,stressValuesArray,False
2025-12-29,2025-12-29T00:42:00+00:00,22,stressValuesArray,False
2025-12-29,2025-12-29T00:45:00+00:00,21,stressValuesArray,False
2025-12-29,2025-12-29T00:48:00+00:00,18,stressValuesArray,False
2025-12-29,2025-12-29T00:51:00+00:00,17,stressValuesArray,False
2025-12-29,2025-12-29T00:54:00+00:00,16,stressValuesArray,False
2025-12-29,2025-12-29T00:57:00+00:00,15,stressValuesArray,False
2025-12-29,2025-12-29T01:00:00+00:00,13,stressValuesArray,False
2025-12-29,2025-12-29T01:03:00+00:00,12,stressValuesArray,False
2025-12-29,2025-12-29T01:06:00+00:00,11,stressValuesArray,False
2025-12-29,2025-12-29T01:09:00+00:00,11,stressValuesArray,False
2025-12-29,2025-12-29T01:12:00+00:00,12,stressValuesArray,False
2025-12-29,2025-12-29T01:15:00+00:00,13,stressValuesArray,False
